id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
41370,66023035016470220000000,50206,Coop.Hab. Bonheur prochain,CS FECHIMM,8131,avenue Souligny,Montréal,H1L 6L2,24,3,557.40,2275.94,27.90,D,1988-10-01,2023-10-01,MULTI. JUMELE OU EN RANGEE,172583
2936,66023993784562080000000,50059,Coop.Hab. Canal Pte St-Charles,CS FECHIMM,2387,rue De Coleraine,Montréal,H3K 1S5,24,3,737.28,2913.12,59.90,E,1991-04-01,2026-04-01,MULTIFAMILIAL,170446
47876,66023993861581500000000,50010,Coop.Hab. Clair Lune Pte St-C.,CS FECHIMM,2025,rue Augustin-Cantin,Montréal,H3K 3J4,6,3,190.69,762.76,73.80,E,1991-06-01,2026-06-01,MULTIFAMILIAL,171566
47294,66023993861581500000000,50010,Coop.Hab. Clair Lune Pte St-C.,CS FECHIMM,2029,rue Augustin-Cantin,Montréal,H3K 3J4,18,3,595.93,1903.07,7.40,B,1991-06-01,2026-06-01,MULTI. JUMELE OU EN RANGEE,171522
98910,66023993880147570000000,50513,Coop.Hab. Coeur Pte St-Charles,CS FECHIMM,1954,rue Richardson,Montréal,H3K 3J6,20,3,555.77,2223.08,25.10,D,1994-07-01,2029-07-01,MULTIFAMILIAL,165001
46583,66023993871428720000000,50062,Coop.Hab. Eclipse St-Charles,CS FECHIMM,1933,rue Augustin-Cantin,Montréal,H3K 3J4,6,3,163.47,653.88,64.10,E,1991-06-01,2026-06-01,MULTIFAMILIAL,171500
46550,66023993871428720000000,50062,Coop.Hab. Eclipse St-Charles,CS FECHIMM,1921,rue Augustin-Cantin,Montréal,H3K 3J4,18,3,573.62,1787.67,39.70,E,1991-06-01,2026-06-01,MULTI. JUMELE OU EN RANGEE,171441
2940,66023894177832660000000,50000,Coop.Hab. Ethnies de Mtl,CS FECHIMM,1475,rue Grenet,Montréal,H4L 5J2,48,6,824.00,5241.12,19.10,D,1991-04-01,2026-04-01,MULTIFAMILIAL,170435
2645,66023965494489810000000,50213,Coop.Hab. Fil D'Ariane,CS FECHIMM,7495,rue Mariana-Jodoin,Montréal,H1E 6S9,12,2,489.02,1445.74,7.00,B,1988-11-01,2023-11-01,MULTI. JUMELE OU EN RANGEE,170166
2634,66023965494489810000000,50213,Coop.Hab. Fil D'Ariane,CS FECHIMM,7505,rue Mariana-Jodoin,Montréal,H1E 6S9,12,3,460.56,1342.80,6.10,B,1988-11-01,2023-11-01,MULTI. JUMELE OU EN RANGEE,170144
99094,66023904245277380000000,50517,Coop.Hab. Grand-Atlas,CS FECHIMM,1555,rue Dutrisac,Montréal,H4L 4J2,23,4,688.39,3419.55,20.70,D,1995-01-01,2030-01-01,MULTIFAMILIAL,165196
41252,66023014442509530000000,50253,Coop.Hab. Infini,CS FECHIMM,1460,rue Préfontaine,Montréal,H1M 2N5,12,3,294.85,1184.08,0.80,A,1989-11-01,2024-11-01,MULTI. JUMELE OU EN RANGEE,172804
41355,66023014789946820000000,50074,Coop.Hab. Louis-Veuillot,CS FECHIMM,5823,rue Hochelaga,Montréal,H1N 1W9,14,3,330.64,1137.66,14.20,C,1990-01-01,2025-01-01,MULTIFAMILIAL,172266
37240,66023963454984870000000,50328,Coop.Hab. Monde à L'Envers Mtl,CS FECHIMM,6648,avenue Irwin,Montréal,H4E 4N8,19,2,756.95,2256.20,5.90,B,1993-05-01,2028-05-01,MULTI. JUMELE OU EN RANGEE,168560
