address,duplicate_address,code geographique,territory,cubf,serial_number,lin_dim,area,max_num_floor,construction year,year_real_esti,floor_area,code_phys_conn,type_const,num_dwell,num_rental,num_non_res,value_prop,code_arrondissement,nom_arrondissement
169 rue Sainte-Geneviève,9999,26063,Saint-Isidore,6812,5960 57 6212,47.34,2156,2,9999,9999,9999,9999,9999,9999,9999,1,1108200,9999,9999
548 rang des ERABLES,9999,50005,Sainte-Eulalie,6812,0108 67 0973,62.96,9888.9,2,9999,9999,1273.4,1,9999,9999,9999,1,1209900,9999,9999
961 avenue des COMMISSAIRES,9999,61040,Saint-Ambroise-de-Kildare,6812,0003 79 1586,219.3,23659.3,2,1958,R,3014.8,1,9999,9999,9999,1,3132000,9999,9999
791 place de la SOLIDARITÉ,9999,37210,Batiscan,6812,0051 66 5479,197.26,12631.5,9999,1955,R,9999,9999,9999,9999,9999,1,630400,9999,9999
225 rue JOSEPH-MARTEL,9999,58033,Boucherville,6812,0849 48 1235,93.58,12110.4,2,1961,R,2783.3,1,9999,9999,9999,1,3051000,9999,9999
401 rue DE JUMONVILLE,9999,58033,Boucherville,6812,0850 95 9158,183.02,14994.6,1,1966,R,2842,1,9999,9999,9999,1,5157900,9999,9999
544 rue SAINT-SACREMENT,9999,58033,Boucherville,6812,0852 44 5743,54.43,6535.4,3,1892,R,3524.1,1,9999,9999,9999,1,5096000,9999,9999
666 rue LE LABOUREUR,9999,58033,Boucherville,6812,0852 58 5062,102.57,25576.6,2,1964,R,3208,1,9999,9999,9999,1,5520800,9999,9999
650 rue ANTOINE-GIROUARD,9999,58033,Boucherville,6812,0852 94 7539,94.57,20010.9,2,1963,R,9999,9999,9999,9999,9999,1,4417100,9999,9999
795 rue BENJAMIN-LOISEAU,9999,58033,Boucherville,6812,0853 66 5830,106.84,10054.8,2,1959,R,2598.4,1,9999,9999,9999,1,2707400,9999,9999
955 boulevard DE MONTARVILLE,9999,58033,Boucherville,6813,0950 74 4460,9999,112637.5,3,1968,R,9999,9999,9999,9999,9999,1,37303200,9999,9999
800 rue du PÈRE-LE JEUNE,9999,58033,Boucherville,6812,0953 04 8005,115.98,23582.3,2,1959,R,9999,9999,9999,9999,9999,1,4501600,9999,9999
