id,eval_unit_id,project_id,organism,service_center,street_num,street_name,muni,postal_code,num_dwellings,num_floors,area_footprint,area_total,ivp,disrepair_state,interest_adjust_date,contract_end_date,category,building_id
1621,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1945,rue de la Verendrye,Baie-Comeau,G5C 2T7,2,2,135.21,344.50,11.30,C,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51251
1890,96020475095188800000000,1158,Oh de Manicouagan,CS Baie-Comeau,919,rue Pouliot,Baie-Comeau,G5C 2P5,2,2,135.21,344.50,13.10,C,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51306
1654,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,908,rue Pouliot,Baie-Comeau,G5C 2T4,2,2,109.78,333.70,12.10,C,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51380
1886,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1928,rue de la Verendrye,Baie-Comeau,G5C 2T8,2,2,109.78,333.70,10.30,C,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51494
840,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,5,rue du Ravin,Chute-aux-Outardes,G0H 1C0,6,1,290.46,580.98,6.30,B,1979-04-01,2029-04-01,UNIFAMILIAL EN RANGEE,51575
873,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,6,rue du Ravin,Chute-aux-Outardes,G0H 1C0,6,1,290.49,580.98,5.70,B,1979-04-01,2029-04-01,UNIFAMILIAL EN RANGEE,51623
862,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,18,rue du Ravin,Chute-aux-Outardes,G0H 1C0,2,1,109.46,218.92,7.00,B,1979-04-01,2029-04-01,UNIFAMILIAL JUMELE,51704
884,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,2,rue du Ravin,Chute-aux-Outardes,G0H 1C0,2,1,109.46,218.92,6.30,B,1979-04-01,2029-04-01,UNIFAMILIAL JUMELE,51645
895,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,17,rue du Ravin,Chute-aux-Outardes,G0H 1C0,2,1,109.46,218.92,6.50,B,1979-04-01,2029-04-01,UNIFAMILIAL JUMELE,51612
851,96035404304012300000000,1511,Oh de Manicouagan,CS Baie-Comeau,1,rue du Ravin,Chute-aux-Outardes,G0H 1C0,2,1,109.46,206.66,9.90,B,1979-04-01,2029-04-01,UNIFAMILIAL JUMELE,51564
1665,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,870,rue Pouliot,Baie-Comeau,G5C 2T4,5,2,274.45,834.25,5.20,B,1973-01-01,2023-01-01,UNIFAMILIAL EN RANGEE,51424
490,96020485006794200000000,1309,Oh de Manicouagan,CS Baie-Comeau,946,rue Delanoe,Baie-Comeau,G5C 2T5,6,3,195.71,782.84,9.00,B,1976-10-01,2026-10-01,MULTIFAMILIAL,51951
1691,96020485017346200000000,1309,Oh de Manicouagan,CS Baie-Comeau,959,boulevard Rene-Belanger,Baie-Comeau,G5C 2N8,6,3,195.71,782.84,8.90,B,1976-10-01,2026-10-01,MULTIFAMILIAL,51472
1643,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1897,rue de la Verendrye,Baie-Comeau,G5C 2T7,2,2,135.21,344.50,8.60,B,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51203
1901,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,887,rue Pouliot,Baie-Comeau,G5C 2P5,2,2,135.21,344.50,6.20,B,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51343
1912,96020475095956500000000,1158,Oh de Manicouagan,CS Baie-Comeau,903,rue Pouliot,Baie-Comeau,G5C 2P5,2,2,135.21,344.50,5.60,B,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51321
906,96040343719614800000000,2389,Oh de Manicouagan,CS Baie-Comeau,15,rue de l' Eglise,Ragueneau,G0H 1S0,11,2,412.23,826.46,0.70,A,1986-03-01,2020-05-04,MULTIFAMILIAL,51553
501,96020575395380600000000,2000,Oh de Manicouagan,CS Baie-Comeau,10,avenue Carleton,Baie-Comeau,G4Z 2W8,50,6,653.11,3826.26,4.50,A,1981-01-01,2031-01-01,MULTIFAMILIAL,51940
512,96020575395380600000000,1514,Oh de Manicouagan,CS Baie-Comeau,20,avenue Carleton,Baie-Comeau,G4Z 2W9,50,7,655.63,3640.24,0.80,A,1979-10-01,2029-10-01,MULTIFAMILIAL,51936
1606,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1913,rue de la Verendrye,Baie-Comeau,G5C 2T7,2,2,135.21,344.50,4.90,A,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51225
1632,96020475094646900000000,1158,Oh de Manicouagan,CS Baie-Comeau,1961,rue de la Verendrye,Baie-Comeau,G5C 2T7,2,2,135.21,344.50,4.10,A,1973-01-01,2023-01-01,UNIFAMILIAL JUMELE,51236
50190,95045080078036900000000,50525,Omh de Forestville,CS Baie-Comeau,31,rue Martel,Forestville,G0T 1E0,8,3,307.93,910.79,9.50,B,1994-05-01,2029-05-01,MULTIFAMILIAL,188285
2903,95045080077458000000000,50090,Omh de Forestville,CS Baie-Comeau,29,rue Payette,Forestville,G0T 1E0,8,3,292.88,878.64,9.00,B,1990-02-01,2025-02-01,MULTIFAMILIAL,171706
523,95045090110418000000000,2135,Omh de Forestville,CS Baie-Comeau,2,10E Rue,Forestville,G0T 1E0,20,2,655.96,1311.92,4.80,A,1982-04-01,2017-03-01,MULTIFAMILIAL,51914
755,95025865612092600000000,1720,Omh de Les Escoumins,CS Baie-Comeau,15,rue Hilaire,Les Escoumins,G0T 1K0,4,1,224.35,448.68,62.10,E,1980-01-01,2030-01-01,UNIFAMILIAL EN RANGEE,52172
